,state,x,y
0,Aguascalientes, 0.0 ,-90.0
1,Baja California,-593.0,385.0
2,Baja California Sur,-483.0,178.0
3,Campeche,525.0,-237.0
4,Chiapas,415.0,-349.0
5,Chihuahua,-202.0,273.0
6,Coahuila,-12.0,195.0
7,Colima,-71.0,-222.0
8,Ciudad de México, 106.0, -199.0
9,Durango,-129.0,83.0
10,Estado de Mexico,142.0,-219.0
11,Guanajuato,50.0, -130.0
12,Guerrero,56.0,-289.0
13,Hidalgo,147.0 , -152.0
14,Jalisco,-71.0 ,  -164.0
15,Michoacán,7.0,-214.0
16,Morelos,142.0,-240.0
17,Nayarit,-112.0 ,  -96.0
18,Nuevo León,109.0 ,  100.0
19,Oaxaca,243.0 ,  -322.0
20,Puebla,182.0 ,  -238.0
21,Querétaro,113.0 ,  -130.0
22,Quintana Roo,612.0 ,  -209.0
23,San Luis Potosí,68.0 ,  -66.0
24,Sinaloa,-267.0 ,  97.0
25,Sonora,-398.0 ,  322.0
26,Tabasco,420.0 ,  -270.0
27,Tamaulipas,151.0 ,  1.0
28,Tlaxcala,181.0 ,  -212.0
29,Veracruz,241.0 ,  -194.0
30,Yucatán,586.0 ,  -138.0
31,Zacatecas,-39.0 ,  6.0
